name,category,variant,subject,demo_url,demo_live,has_phone,phone,address,rating,shared_demo,google_maps_url
Ellianos Coffee,cafes,A,I built a free website for Ellianos Coffee,https://florida-man-bioscience.github.io/demo-websites/generated-sites/ellianos-coffee.html,yes,no,,"1521 SW 74th Dr, Gainesville, FL 32607",4.7 (494),no,https://www.google.com/maps/place/Ellianos+Coffee/data=!4m7!3m6!1s0x88e8bd5f72ba9d07:0x8a6040c2c40adf6a!8m2!3d29.6384338!4d-82.4209246!16s%2Fg%2F11v10lk20q!19sChIJB526cl-96IgRat8KxMJAYIo?authuser=0&hl=en&rclk=1
Resident Coffee,cafes,A,I built a free website for Resident Coffee,https://florida-man-bioscience.github.io/demo-websites/generated-sites/resident-coffee.html,yes,no,,"4401 NW 25th Pl. Ste J, Gainesville, FL 32606",4.8 (206),no,https://www.google.com/maps/place/Resident+Coffee/data=!4m7!3m6!1s0x88e8bbf9431944a7:0x9af97467bce1911d!8m2!3d29.675726!4d-82.3904043!16s%2Fg%2F11xdhjn46n!19sChIJp0QZQ_m76IgRHZHhvGd0-Zo?authuser=0&hl=en&rclk=1
Maude's Cafe,cafes,A,I built a free website for Maude's Cafe,https://florida-man-bioscience.github.io/demo-websites/generated-sites/maude-s-cafe.html,yes,no,,"101 SE 2nd Pl, Gainesville, FL 32601",4.2 (550),no,https://www.google.com/maps/place/Maude%27s+Cafe/data=!4m7!3m6!1s0x88e8a38d3305b84d:0xbf31f179207ef6fc!8m2!3d29.6495952!4d-82.3236564!16s%2Fg%2F1ts302tk!19sChIJTbgFM42j6IgR_PZ-IHnxMb8?authuser=0&hl=en&rclk=1
Twist Coffee & Cocktails,cafes,A,I built a free website for Twist Coffee & Cocktails,https://florida-man-bioscience.github.io/demo-websites/generated-sites/twist-coffee-cocktails.html,yes,yes,(352) 376-1224,"413 W University Ave, Gainesville, FL 32601",5.0 (19),no,https://www.google.com/maps/place/Twist+Coffee+%26+Cocktails/data=!4m7!3m6!1s0x88e8a39abe55cb9f:0x6fa80b31c97d80bc!8m2!3d29.651449!4d-82.3290918!16s%2Fg%2F11z27y9p00!19sChIJn8tVvpqj6IgRvIB9yTELqG8?authuser=0&hl=en&rclk=1
108 Vine,cafes,A,I built a free website for 108 Vine,https://florida-man-bioscience.github.io/demo-websites/generated-sites/108-vine.html,yes,no,,"3735 W University Ave, Gainesville, FL 32607",4.8 (281),no,https://www.google.com/maps/place/108+Vine/data=!4m7!3m6!1s0x88e8a30b8f94202b:0x7e3ef0ff6dc87cac!8m2!3d29.6513536!4d-82.3798094!16s%2Fg%2F11pz86j6tn!19sChIJKyCUjwuj6IgRrHzIbf_wPn4?authuser=0&hl=en&rclk=1
Dolce Vita Bakery Cafe,bakeries,A,I built a free website for Dolce Vita Bakery Cafe,https://florida-man-bioscience.github.io/demo-websites/generated-sites/dolce-vita-bakery-cafe.html,yes,yes,(352) 505-6688,"4908 NW 34th Blvd Ste 2, Gainesville, FL 32605",4.5 (373),no,https://maps.app.goo.gl/VNbi3cHhs...
BakerBaker,bakeries,A,I built a free website for BakerBaker,https://florida-man-bioscience.github.io/demo-websites/generated-sites/bakerbaker.html,yes,no,,"407 SW 4th Ave, Gainesville, FL 32601",4.7 (145),no,https://maps.app.goo.gl/yr1f7nKBipF...
Bushel & Peck bakery + cafe,bakeries,A,I built a free website for Bushel & Peck bakery + cafe,https://florida-man-bioscience.github.io/demo-websites/generated-sites/bushel-peck-bakery-cafe.html,yes,yes,(352) 900-2253,"1001 NW 5th Ave, Gainesville, FL 32601",5.0 (21),no,https://maps.app.goo.gl/9yszxAspo...
The Bakery Mill,bakeries,A,I built a free website for The Bakery Mill,https://florida-man-bioscience.github.io/demo-websites/generated-sites/the-bakery-mill.html,yes,no,,"1143 NW 76th Blvd, Gainesville, FL 32606",4.6 (709),no,https://maps.app.goo.gl/HngMKGog...
gville sweets,bakeries,A,I built a free website for gville sweets,https://florida-man-bioscience.github.io/demo-websites/generated-sites/gville-sweets.html,yes,no,,"211 SW 4th Ave Ste 6, Gainesville, FL 32601",5.0 (visible stars),no,https://www.google.com/maps/place/gville+sweets/data=!4m7!3m6!1s0x88e8a3cbbd039ad9:0xaa5ee0269b8d0d3d!8m2!3d29.6480089!4d-82.3270458!16s%2Fg%2F11ypc40ctf!19sChIJ2ZoDvcuj6IgRPQ2NmybgXqo?authuser=0&hl=en&rclk=1
Lor Kebab,restaurants,A,I built a free website for Lor Kebab,https://florida-man-bioscience.github.io/demo-websites/generated-sites/lor-kebab.html,yes,yes,(305) 846-4506,"12 SW 1st Ave, Gainesville, FL 32601",4.9 (271),no,https://www.google.com/maps/place/Lor+Kebab/data=!4m7!3m6!1s0x88e8a30018f0264d:0xa7def2169916b5d8!8m2!3d29.651178!4d-82.3255678!16s%2Fg%2F11x_3m1hfv!19sChIJTSbwGACj6IgR2LUWmRby3qc?authuser=0&hl=en&rclk=1
Bob's Barber Shop,barbershops,B,Your free demo website is ready — Bob's Barber Shop,https://florida-man-bioscience.github.io/demo-websites/generated-sites/bob-s-barber-shop.html,yes,yes,(352) 378-8698,"1205 NW 23rd Ave, Gainesville, FL 32609",4.6 (190),no,https://www.google.com/maps/place/Bob's+Barber+Shop/data=!4m7!3m6!1s0x88e8a464fcb518c9:0x8f58d5b394f9663!8m2!3d29.673647!4d-82.3373271!16s%2Fg%2F1tjgqdwj!19sChIJyRi1_GSk6IgRY5ZPOVuN9Qg?authuser=0&hl=en&rclk=1
Fades & Fros,barbershops,B,Your free demo website is ready — Fades & Fros,https://florida-man-bioscience.github.io/demo-websites/generated-sites/fades-fros.html,yes,yes,(352) 384-1008,"600 NW 5th Ave, Gainesville, FL 32601",4.5 (194),no,https://www.google.com/maps/place/Fades+%26+Fros/data=!4m7!3m6!1s0x88e8a3891a6c5b49:0x9f3cdfbd5da8156e!8m2!3d29.6558081!4d-82.3310151!16s%2Fg%2F1tfyfd86!19sChIJSVtsGomj6IgRbhWoXb3fPJ8?authuser=0&hl=en&rclk=1
Classic Cutz,barbershops,B,Your free demo website is ready — Classic Cutz,https://florida-man-bioscience.github.io/demo-websites/generated-sites/classic-cutz.html,yes,yes,(352) 519-5141,"4120 NW 6th St, Gainesville, FL 32609",4.6 (46),no,https://www.google.com/maps/place/Classic+Cutz/data=!4m7!3m6!1s0x88e8a4444fd8439b:0x5b92e9199d37a5f2!8m2!3d29.6905995!4d-82.3322941!16s%2Fg%2F1tpn3d4w!19sChIJm0PYT0Sk6IgR8qU3nRnpkls?authuser=0&hl=en&rclk=1
Style Cuts,barbershops,B,Your free demo website is ready — Style Cuts,https://florida-man-bioscience.github.io/demo-websites/generated-sites/style-cuts.html,yes,no,,"110 SW 34th St, Gainesville, FL 32607",4.9 (30),no,https://www.google.com/maps/place/Style+Cuts/data=!4m7!3m6!1s0x88e8a306689b9bcf:0x6b3a95eda291339b!8m2!3d29.6508365!4d-82.3728485!16s%2Fg%2F11yfcxrf20!19sChIJz5ubaAaj6IgRmzORou2VOms?authuser=0&hl=en&rclk=1
Head2Norman's Barbershop,barbershops,B,Your free demo website is ready — Head2Norman's Barbershop,https://florida-man-bioscience.github.io/demo-websites/generated-sites/head2norman-s-barbershop.html,yes,no,,"816 NW 5th Ave, Gainesville, FL 32601",4.5 (40),no,https://www.google.com/maps/place/Head2Norman%27s+Barbershop/data=!4m7!3m6!1s0x88e8a38890de3be5:0xcd0386bb9b4c59eb!8m2!3d29.6557706!4d-82.3335463!16s%2Fg%2F1txy34yg!19sChIJ5TvekIij6IgR61lMm7uGA80?authuser=0&hl=en&rclk=1
Fine Line Barber Shop,barbershops,B,Your free demo website is ready — Fine Line Barber Shop,https://florida-man-bioscience.github.io/demo-websites/generated-sites/fine-line-barber-shop.html,yes,no,,"1152 NE 16th Ave, Gainesville, FL 32601",4.9 (27),no,https://www.google.com/maps/place/Fine+Line+Barber+Shop/data=!4m7!3m6!1s0x88e8a5bdbe4d6145:0x5e4abd1c5299d84!8m2!3d29.666914!4d-82.3107847!16s%2Fg%2F11h1cqpgyb!19sChIJRWFNvr2l6IgRhJ0pxdGr5AU?authuser=0&hl=en&rclk=1
Kutters,barbershops,B,Your free demo website is ready — Kutters,https://florida-man-bioscience.github.io/demo-websites/generated-sites/kutters.html,yes,no,,"1916 NE Waldo Rd, Gainesville, FL 32609",4.8 (87),no,https://www.google.com/maps/place/Kutters/data=!4m7!3m6!1s0x88e8a6a875d6bf61:0x3f2b1adf54159b32!8m2!3d29.6693133!4d-82.3000325!16s%2Fg%2F1tngr3df!19sChIJYb_Wdaim6IgRMpsVVN8aKz8?authuser=0&hl=en&rclk=1
Kutters Barber Shop,barbershops,B,Your free demo website is ready — Kutters Barber Shop,https://florida-man-bioscience.github.io/demo-websites/generated-sites/kutters-barber-shop.html,yes,no,,"211 NE 16th Ave, Gainesville, FL 32601",4.8 (41),no,https://www.google.com/maps/place/Kutters+Barber+Shop/data=!4m7!3m6!1s0x88e8a40cc62dfa5b:0x36e4ffda12847273!8m2!3d29.6662829!4d-82.3225703!16s%2Fg%2F1v0llm1j!19sChIJW_otxgyk6IgRc3KEEtr_5DY?authuser=0&hl=en&rclk=1
Locos por Tacos Food Truck,food trucks,A,I built a free website for Locos por Tacos Food Truck,https://florida-man-bioscience.github.io/demo-websites/generated-sites/locos-por-tacos-food-truck.html,yes,yes,(352) 870-1377,"1712 SW 13th St, Gainesville, FL 32608",4.9 (48),no,https://www.google.com/maps/place/Locos+por+Tacos+Food+Truck/data=!4m7!3m6!1s0x88e8a300710f62fd:0x6cc32851ac8b1e0d!8m2!3d29.6350773!4d-82.3398585!16s%2Fg%2F11ld89rtxg!19sChIJ_WIPcQCj6IgRDR6LrFEow2w?authuser=0&hl=en&rclk=1
Wayne Heads Southern Kitchen | Soul,food trucks,A,I built a free website for Wayne Heads Southern Kitchen | Soul,https://florida-man-bioscience.github.io/demo-websites/generated-sites/wayne-heads-southern-kitchen-soul.html,yes,yes,(352) 301-4190,"1602 NE Waldo Rd, Gainesville, FL 32609",4.8 (10),no,https://www.google.com/maps/place/Wayne+Heads+Southern+Kitchen+%7C+Soul/data=!4m7!3m6!1s0x88e8a5b5eb849397:0x6b638d1d83977644!8m2!3d29.666873!4d-82.3021761!16s%2Fg%2F11rgcc3gy5!19sChIJl5OE67Wl6IgRRHaXgx2NY2s?authuser=0&hl=en&rclk=1
SWAMP RELIGION,food trucks,A,I built a free website for SWAMP RELIGION,https://florida-man-bioscience.github.io/demo-websites/generated-sites/swamp-religion.html,yes,yes,(352) 215-6202,"904 E University Ave, Gainesville, FL 32601",4.3 (12),no,https://www.google.com/maps/place/SWAMP+RELIGION/data=!4m7!3m6!1s0x88e8a33ffe27c675:0xdfc1b228e8259965!8m2!3d29.6521249!4d-82.3144863!16s%2Fg%2F11qgjstzjg!19sChIJdcYn_j-j6IgRZZkl6Ciywd8?authuser=0&hl=en&rclk=1
Taqueria Street Tacos | Mexican,food trucks,A,I built a free website for Taqueria Street Tacos | Mexican,https://florida-man-bioscience.github.io/demo-websites/generated-sites/taqueria-street-tacos-mexican.html,yes,yes,(352) 448-1323,"8149 NW 38th Ln, Gainesville, FL 32606",4.9 (24),no,https://www.google.com/maps/place/Taqueria+Street+Tacos+%7C+Mexican/data=!4m7!3m6!1s0x88e8bb0ad522eceb:0x823f0df76bf8a7d3!8m2!3d29.6884303!4d-82.4293652!16s%2Fg%2F11trdx03fg!19sChIJ6-wi1Qq76IgR06f4a_cNP4I?authuser=0&hl=en&rclk=1
Xclusive Eatz,food trucks,A,I built a free website for Xclusive Eatz,https://florida-man-bioscience.github.io/demo-websites/generated-sites/xclusive-eatz.html,yes,yes,(352) 363-2782,"1714 SE Hawthorne Rd, Gainesville, FL 32641",4.5 (2),no,https://www.google.com/maps/place/Xclusive+Eatz/data=!4m7!3m6!1s0x88e8a3180344597d:0xad014a0b1cf3ef04!8m2!3d29.6498869!4d-82.3026847!16s%2Fg%2F11nxr84c5x!19sChIJfVlEAxij6IgRBO_zHAtKAa0?authuser=0&hl=en&rclk=1
Chef JJ Creations,food trucks,A,I built a free website for Chef JJ Creations,https://florida-man-bioscience.github.io/demo-websites/generated-sites/chef-jj-creations.html,yes,yes,(352) 231-1582,"1225 NW 10th Ave, Gainesville, FL 32601",4.8 (4),no,https://www.google.com/maps/place/Chef+JJ+Creations/data=!4m7!3m6!1s0x88e8a5e3dd0da843:0xd728ff0c2a4a6e3f!8m2!3d29.6610046!4d-82.3379864!16s%2Fg%2F11rbw78gdm!19sChIJQ6gN3eOl6IgRP25KKgz_KNc?authuser=0&hl=en&rclk=1
K-INACUP,food trucks,A,I built a free website for K-INACUP,https://florida-man-bioscience.github.io/demo-websites/generated-sites/k-inacup.html,yes,yes,(352) 448-1212,"931 SW 2nd Ave, Gainesville, FL 32601",4.8 (46),no,https://www.google.com/maps/place/K-INACUP/data=!4m7!3m6!1s0x88e8a31086d6553d:0x3818c8b50b4b67e0!8m2!3d29.6499366!4d-82.334048!16s%2Fg%2F11wc2351x1!19sChIJPVXWhhCj6IgR4GdLC7XIGDg?authuser=0&hl=en&rclk=1
ONLY NAILS,nail+salons,B,Your free demo website is ready — ONLY NAILS,https://florida-man-bioscience.github.io/demo-websites/generated-sites/only-nails.html,yes,yes,(352) 554-6088,"3841 SW Archer Rd Suite. E, Gainesville, FL 32608",4.8 (189),no,https://www.google.com/maps/place/ONLY+NAILS/data=!4m7!3m6!1s0x88e8a3e6410ddd2d:0x6955227c2bdbdfc2!8m2!3d29.6193339!4d-82.3815165!16s%2Fg%2F11rcjjzz7f!19sChIJLd0NQeaj6IgRwt_bK3wiVWk?authuser=0&hl=en&rclk=1
39 NAIL SALON,nail+salons,B,Your free demo website is ready — 39 NAIL SALON,https://florida-man-bioscience.github.io/demo-websites/generated-sites/39-nail-salon.html,yes,no,,"8181 NW 39th Ave Ste 40, Gainesville, FL 32606",4.7 (90),no,https://www.google.com/maps/place/39+NAIL+SALON/data=!4m7!3m6!1s0x88e8bb7caaad7285:0x7eedfc5ffeaa7269!8m2!3d29.6884038!4d-82.4293845!16s%2Fg%2F11y1m5bw0v!19sChIJhXKtqny76IgRaXKq_l_87X4?authuser=0&hl=en&rclk=1
Swan Nail,nail+salons,B,Your free demo website is ready — Swan Nail,https://florida-man-bioscience.github.io/demo-websites/generated-sites/swan-nail.html,yes,no,,"1515 NW 23rd Ave, Gainesville, FL 32605",4.3 (212),no,https://www.google.com/maps/place/Swan+Nail/data=!4m7!3m6!1s0x88e8a4631d2b3733:0xbfc83730fa4ca044!8m2!3d29.6730529!4d-82.3412464!16s%2Fg%2F1thvz2xf!19sChIJMzcrHWOk6IgRRKBM-jA3yL8?authuser=0&hl=en&rclk=1
New York Nails,nail+salons,B,Your free demo website is ready — New York Nails,https://florida-man-bioscience.github.io/demo-websites/generated-sites/new-york-nails.html,yes,no,,"3550 SW 34th St Suite C, Gainesville, FL 32608",4.2 (117),no,https://www.google.com/maps/place/New+York+Nails/data=!4m7!3m6!1s0x88e8a326a3107adb:0x255f3659e659ef2c!8m2!3d29.621024!4d-82.373635!16s%2Fg%2F1tkc2yf9!19sChIJ23oQoyaj6IgRLO9Z5lk2XyU?authuser=0&hl=en&rclk=1
Queen Nails,nail+salons,B,Your free demo website is ready — Queen Nails,https://florida-man-bioscience.github.io/demo-websites/generated-sites/queen-nails.html,yes,no,,"5109 NW 39th Ave, Gainesville, FL 32606",4.5 (116),no,https://www.google.com/maps/place/Queen+Nails/data=!4m7!3m6!1s0x88e8bb37ec65e6b7:0x5bb7a13f3fc7d08b!8m2!3d29.6876649!4d-82.39789!16s%2Fg%2F1thbxhd_!19sChIJt-Zl7De76IgRi9DHPz-ht1s?authuser=0&hl=en&rclk=1
Glamorous Nails,nail+salons,B,Your free demo website is ready — Glamorous Nails,https://florida-man-bioscience.github.io/demo-websites/generated-sites/glamorous-nails.html,yes,no,,"4209 NW 16th Blvd, Gainesville, FL 32605",4.3 (161),no,https://www.google.com/maps/place/Glamorous+Nails/data=!4m7!3m6!1s0x88e8a360c676ab7f:0x23e09fa18bf06269!8m2!3d29.6730118!4d-82.3882216!16s%2Fg%2F11gslrgnl9!19sChIJf6t2xmCj6IgRaWLwi6Gf4CM?authuser=0&hl=en&rclk=1
Sun Fresh Style,hair salons,B,Your free demo website is ready — Sun Fresh Style,https://florida-man-bioscience.github.io/demo-websites/generated-sites/sun-fresh-style.html,yes,yes,(352) 278-2973,"1829 SW 13th St, Gainesville, FL 32608",4.8 (based on reviews),no,https://www.google.com/maps/search/?api=1&query=Sun+Fresh+Style+Gainesville+FL+1829+SW+13th+St
Elemental Salon,hair salons,B,Your free demo website is ready — Elemental Salon,https://florida-man-bioscience.github.io/demo-websites/generated-sites/elemental-salon.html,yes,yes,(954) 675-5534,"490 NW 60th St #21, Gainesville, FL 32607",5.0 (based on reviews),no,https://www.google.com/maps/search/?api=1&query=Elemental+Salon+Gainesville+FL+490+NW+60th+St
Total Image Salon,hair salons,B,Your free demo website is ready — Total Image Salon,https://florida-man-bioscience.github.io/demo-websites/generated-sites/total-image-salon.html,yes,yes,(352) 373-5055,"115 NW 3rd St, Gainesville, FL 32601",4.2 (187 reviews),no,https://www.google.com/maps/search/?api=1&query=Total+Image+Salon+Gainesville+FL+115+NW+3rd+St
Cutz by Dray,hair salons,B,Your free demo website is ready — Cutz by Dray,https://florida-man-bioscience.github.io/demo-websites/generated-sites/cutz-by-dray.html,yes,no,,"1411 NW 6th St, Ste 120, Gainesville, FL 32601",,no,https://www.google.com/maps/search/?api=1&query=Cutz+by+Dray+Gainesville+FL+1411+NW+6th+St
Joy And Beauty,hair salons,B,Your free demo website is ready — Joy And Beauty,https://florida-man-bioscience.github.io/demo-websites/generated-sites/joy-and-beauty.html,yes,yes,(352) 215-3278,"1020 NW 23rd Ave Suite D, Gainesville, FL 32609",,no,https://www.google.com/maps/search/?api=1&query=Joy+And+Beauty+Gainesville+FL+1020+NW+23rd+Ave
P.First,hair salons,B,Your free demo website is ready — P.First,https://florida-man-bioscience.github.io/demo-websites/generated-sites/p-first.html,yes,no,,"3004 NE 10th St, Gainesville, FL 32609",,no,https://www.google.com/maps/search/?api=1&query=P.First+Gainesville+FL+3004+NE+10th+St
Immaculate Conceptions,hair salons,B,Your free demo website is ready — Immaculate Conceptions,https://florida-man-bioscience.github.io/demo-websites/generated-sites/immaculate-conceptions.html,yes,no,,"4101 NE 2nd Way, Gainesville, FL 32609",,no,https://www.google.com/maps/search/?api=1&query=Immaculate+Conceptions+Gainesville+FL+4101+NE+2nd+Way
Paper Cuts Barbershop,hair salons,B,Your free demo website is ready — Paper Cuts Barbershop,https://florida-man-bioscience.github.io/demo-websites/generated-sites/paper-cuts-barbershop.html,yes,no,,"1371 SE 22nd Ave, Gainesville, FL 32641",,no,https://www.google.com/maps/search/?api=1&query=Paper+Cuts+Barbershop+Gainesville+FL+1371+SE+22nd+Ave
Loc'd Down By Toya,hair salons,B,Your free demo website is ready — Loc'd Down By Toya,https://florida-man-bioscience.github.io/demo-websites/generated-sites/loc-d-down-by-toya.html,yes,no,,"1020 NW 23rd Ave, Unit C, Gainesville, FL 32609",,no,https://www.google.com/maps/search/?api=1&query=Loc'd+Down+By+Toya+Gainesville+FL+1020+NW+23rd+Ave
Miraculously Loc,hair salons,B,Your free demo website is ready — Miraculously Loc,https://florida-man-bioscience.github.io/demo-websites/generated-sites/miraculously-loc.html,yes,no,,"1109 NW 13th St, Suite H, Gainesville, FL 32601",,no,https://www.google.com/maps/search/?api=1&query=Miraculously+Loc+Gainesville+FL+1109+NW+13th+St
Dan Kays Auto Repair,auto repair,C,Dan Kays Auto Repair — I made you a free website,https://florida-man-bioscience.github.io/demo-websites/generated-sites/dan-kays-auto-repair.html,yes,yes,(352) 371-3888,"1124 SE 4th St, Gainesville, FL",4.8 (based on reviews),no,https://www.google.com/maps/place/Dan+Kays+Auto+Repair/data=!4m7!3m6!1s0x88e8a3eb78930dc1:0x13f28eb725623726!8m2!3d29.639388!4d-82.3190654!16s%2Fg%2F1tfscp4p!19sChIJwQ2TeOuj6IgRJjdiJbeO8hM?authuser=0&hl=en&rclk=1
Tommy's Autoworks,auto repair,C,Tommy's Autoworks — I made you a free website,https://florida-man-bioscience.github.io/demo-websites/generated-sites/tommy-s-autoworks.html,yes,yes,(352) 577-9502,"125 NE 23rd Ave Ste D, Gainesville, FL",4.6 (based on reviews),no,https://www.google.com/maps/place/Tommy%27s+Autoworks/data=!4m7!3m6!1s0x88e8a41327f6e309:0x3173a2ee3c04c4b8!8m2!3d29.6735778!4d-82.3227247!16s%2Fg%2F11b6q82p_2!19sChIJCeP2JxOk6IgRuMQEPO6iczE?authuser=0&hl=en&rclk=1
Dad's Auto Repair,auto repair,C,Dad's Auto Repair — I made you a free website,https://florida-man-bioscience.github.io/demo-websites/generated-sites/dad-s-auto-repair.html,yes,yes,(352) 727-7849,"2014 NE 23rd Ave, Gainesville, FL",4.7 (based on reviews),no,https://www.google.com/maps/place/Dad%27s+Auto+Repair/data=!4m7!3m6!1s0x88e8a6a6c44fbee5:0xd004558b94a383b8!8m2!3d29.6740897!4d-82.2981732!16s%2Fg%2F11dx9dp4nr!19sChIJ5b5PxKam6IgRuIOjlItVBNA?authuser=0&hl=en&rclk=1
